username,lemmatized_text,extract_hashtags,labels
BeingCharlie,  Scenes 2007 relieve 2023 Kenya TROUBLED look good,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis,[0.09498561 0.14724934 0.75776505]
EmbuTelevision,  VIOLENCE LOOTING amp DESTRUCTION AZIMIO DEMONSTRATIONS RAILA INTERNET NEVER FORGETS,ArrestRaila demonstration ArrestRailaNow Azimio,[0.93415445 0.05305343 0.01279211]
Mr_Simpson9,  3 day protest know tough head ICC criminal posing president go take demonstration get thief crony open election server,MaandamanoThursdays,[0.8484434  0.1175096  0.03404703]
YoungBrokeNigaz,  wrong Kenyans want peace big political ego,MaandamanoThursdays,[0.8863825  0.0974282  0.01618924]
BeingCharlie,  heart bleeds country,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis,[0.94223064 0.04107474 0.01669458]
j_thuranira,  think light end tunnel kumbe ni nduthi inatokelezea,MaandamanoThursdays MainaAndKingangi,[0.41753063 0.37248206 0.20998733]
BeingCharlie,  Stealing DEAD take DARK turn,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis,[0.8079179  0.16106041 0.03102167]
OfficialOneKid,  Baba world giant,MaandamanoThursdays Raila,[0.30936489 0.27810508 0.4125301 ]
johnnieWesh,  get mandamano thing spend 20 min emphasis protest good country watch DW main story despite protest,RailaOdinga,[0.35452616 0.32651114 0.3189627 ]
BeingCharlie,  Cry thy beloved KISUMU Scenes 2007 relieve 2023 Truly heartbreaking,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis,[0.90460426 0.06084318 0.03455252]
Abundance_Raph,  PRAY KENYA WAY THINGS GOING UNLESS GOD INTERVENES,MaandamanoThursdays PeaceAndLove KenyaToday,[0.35967022 0.36582875 0.27450103]
delano_josh,  Leo Tassia tumesumbuliwa na makarao reason guess bore coz section calm side Tassia,MaandamanoThursdays tassia,[0.42735648 0.34916264 0.22348084]
Naitalel_maina,  Fahari wawili wakipigananyasi ndio huumia casesisi ndio nyasi Thugs take advantage maandamano loot n destroy Dear president Ruto act like leader Engage Raila nusu mkate dialogue peace,MaandamanoThursdays tassia,[0.63787323 0.21931788 0.14280882]
BwnHon,  say thatFor president people must die many foolish Luis KisumuMathare Kibra Pipeline must die stop hope one day get world Luos liberate,Raila Raila MaandamanoThursdays MaandamanoMondays,[0.8554612  0.11246372 0.03207516]
AllenNext,  Even armoured vehicle match state machinery 🤔,Maandamano Raila MaandamanoThursdays MaandamanoThursday MaandamanoMondays MaandamanoMonday,[0.24810767 0.69424343 0.05764887]
DWorldChronicle,  happen Video : Courtesy,MaandamanoThursdays,[0.07359546 0.74594223 0.1804623 ]
da_dancan,  Im sure mr miss political report,MaandamanoThursdays,[0.36149988 0.45606542 0.18243474]
MuyelaRobertob,  person 1 top 2 jean 3 gun 4 bag 5 earpiece,Raila pipeline Maandamano MaandamanoThursday RailaOdinga,[0.13532852 0.7520052  0.11266626]
Evan23317235848,  Yani people take yo time vandalise limited health facility well do Kisumu people,MaandamanoThursdays,[0.62429327 0.25696787 0.11873884]
FieLixie,  Could Korir,MaandamanoThursdays,[0.33427462 0.38311377 0.28261158]
IanMainw,  Killed high school kid pipeline earlier today,Railaodinga CitiNewsroom HumanRights statehouse,[0.8322319  0.14909898 0.01866907]
ShadyOpiyo,  current president William Ruto OPPOSED Constitution vehementlyI expect everything thats happen us nowreluctant SUSPENDING NEED see Odinga Azimio brigade,Maandamano Raila MaandamanoThursdays,[0.5274145  0.28653932 0.18604614]
kgwako8,  Gachethi safe baba alive want bad world kill Raila Amolo Odinga youll see kenya ash,MaandamanoThursdays Maandamano server,[0.3975803  0.32090208 0.28151765]
Jeshi_LaBABA,  Fellow Kenyans amp Helped Get Illegitimate Govt Power Corrupt Kickbacks Later onNow Theyre Sanitizing Police Brutality advise Government arrest BABA Time Comes SHALL PACK GO,MaandamanoThursdays,[0.91365796 0.07001976 0.01632226]
Stevemulwa9,  ni shughuli za kiroma,MaandamanoThursdays,[0.5491374  0.35779437 0.09306817]
Generationzeyd,  help place business Google excellent tool raise business company local profile allow provide detail photo business Want become member Talk 0721507651,Raila MaandamanoThursdays,[0.04257387 0.725049   0.23237722]
davis_osoro,  Dci twiter,KOT MaandamanoThursdays,[0.35719836 0.4252302  0.2175714 ]
Polycar16101020,  lovely look solidarity act pipeline people way,RailaOdinga,[0.15919705 0.21670891 0.624094  ]
authenttick,  Theres country 21st century still happen Arrest pipeline Tassia Edwin Sifuna,Maandamano Nairobi RailaOdinga,[0.59472764 0.3641741  0.04109823]
the_great_iam_2,  way kenya watch police v Azimio,MaandamanoThursdays Raila Maandamano,[0.36645707 0.41473296 0.21880999]
johnmark254,  Seth stay safe aluta continuum,MaandamanoMondays,[0.21081166 0.39620498 0.39298335]
ShadyOpiyo,  think ever want VIBRANT opposition give,Maandamano MaandamanoThursdays,[0.3592207  0.45819083 0.18258849]
Kungu254_,  Pipeline waliwafanya ile kitu,MaandamanoThursdays,[0.45047143 0.4210546  0.12847394]
DKithandi,  Rigathi Gachagua Raila,RailaOdinga,[0.32731837 0.42008606 0.2525955 ]
ERUKONJnr, ,MaandamanoThursdays,[0.3257778  0.38096133 0.2932608 ]
MOmuttaha,  Police Brutality real Kenya,MaandamanoThursdays RailaOdinga JournalismIsNotACrime,[0.9484153  0.04021934 0.01136536]
Asamoh_,  Monday mother demonstration,MaandamanoThursdays,[0.14879735 0.69327503 0.15792757]
NyaberaEmmanuel,  clearly target,MaandamanoThursdays,[0.36256227 0.3483659  0.2890719 ]
Dr_Nickz,  protest,MaandamanoThursdays Maandamano MaandamanoThursday,[0.33425334 0.39478233 0.27096438]
sammytkamau, ,MaandamanoThursdays,[0.3257778  0.38096133 0.2932608 ]
KylianTatum,  checked shirt cop Wueh Talk quickmart Jack Bauer,MaandamanoThursdays,[0.09612431 0.8375073  0.06636833]
HajjAbdiwahid,  officer different occasion mission red line cross,MaandamanoThursdays,[0.23688473 0.67457366 0.08854157]
KopanastivStiv,  attempt life RtHon attempt life KenyansUsijaribu,MaandamanoMondays MaandamanoThursday,[0.27972904 0.5036507  0.21662027]
Jumbage,  inhuman Alafu mnasema protestors Im really ashamed police Outering road Pipeline Kibera,MaandamanoThursdays,[0.9644626  0.02523423 0.01030321]
DahmerKe,  guy probably avenge medium reveal face previous maandamano Raila,MaandamanoMondays Maandamano,[0.5077374  0.39084268 0.10141998]
UnchainDjango,  Looks like cow lead onslaught police Pipeline /Tassia along Outering Road Peaceful protest turn chaotic Martha Karua Edwin Sifuna amp Babu Owino entourage weave Embakasi Pwani University RIP,RailaOdinga,[0.87353283 0.10237753 0.02408965]
OpiyoWandayi,  image reminiscent JeanBedel Bokassas Central African Republic Pol Pots Cambodia JeanClaude Duvalier ( Papa Doc ) Haiti Kenya Third Liberation must come,MaandamanoThursdays,[0.30210146 0.5219577  0.17594081]
BeatriceOyomo,  Weve demonstrate world peaceloving movement fight high cost living bad governance peaceful demonstration violence often witness always cause triggerhappy goon police uniform,MaandamanoThursdays,[0.7962655  0.13686478 0.06686981]
mukundiAchiever,  justification destabilize already exist peace okay call nasty,MaandamanoThursdays,[0.8951328  0.08278874 0.02207848]
MumbiJosphen,  Eastlands Photoshop Edwin Sifuna,Maandamano MaandamanoThursday MaandamanoMondays Raila,[0.10644358 0.8065967  0.08695965]
fvcnewsTV,  Stop senseless attack journalist Stop,mediaattacks MaandamanoThursdays MaandamanoMondays Maandamano mediafreedom,[0.9200491  0.05703985 0.022911  ]
king_kemboi,  Watu wa KOT identify still dont believe story thats share online Citizen TV Photoshop MC Fullstop,Raila RailaOdinga,[0.5710011  0.41004512 0.01895376]
ShadyOpiyo,  FEAR cant CONQUER HATE dont UNDERSTANDthis political major problem,MaandamanoThursdays Maandamano,[0.89119565 0.09164057 0.01716388]
Director_Ochi,  Niaje bro talent manager artist amazing patriotic song know please add playlist Check,MaandamanoMondays MaandamanoThursdays,[0.16134584 0.32681438 0.51183975]
HuyuNiSMS,  NTV banaa GoonVernment,MaandamanoThursdays,[0.04744557 0.6759059  0.27664852]
DJ_ENRIC_KENYA,  DJ ENRIC KENYA MIONDOKO SET dj Enric Kenya feat DJ ENRIC via,nowplaying MaandamanoThursdays Maandamano,[0.06601485 0.79953086 0.1344543 ]
SallyBolo,  aim superfluous attack one Azimio La Umoja One Kenya Alliance vehicle man plan clothes Hes see emerge police sideobviously hes police officer isnt safe picket,MaandamanoThursdays,[0.7543735  0.20408197 0.04154458]
KogwiloKe,  Yes regress old day Ooooh attempt take away Babas life relent tire Lets meet Monday mother demonstration Guok,MaandamanoThursdays,[0.25292957 0.41886693 0.32820344]
OnguruMeister,  Fuck police,MaandamanoThursdays,[0.8221298  0.12044504 0.0574252 ]
dark_enock, ,MaandamanoThursdays,[0.3257778  0.38096133 0.2932608 ]
kiztv7,  crime camera,JournalismIsNotCrime MaandamanoThursdays,[0.49457785 0.36023572 0.14518636]
KWC_Congress,  officer different occasion mission red line cross,MaandamanoThursdays,[0.23688473 0.67457366 0.08854157]
RuudInKenya,  damage report,MaandamanoThursdays Kisumu,[0.6811067  0.23500791 0.08388542]
joeamanon,  one buy gun grenade rate hv beef security thuggish govt,RutoMustGo MaandamanoThursdays,[0.7304316  0.19947113 0.07009732]
mukundiAchiever,  Thats devilish democracy looting,MaandamanoThursdays,[0.92954487 0.05368412 0.01677099]
linovick254,  Respectfully respect hustle journalist demonstrator,MaandamanoThursdays Maandamano,[0.12373748 0.20930974 0.6669528 ]
iam_randiki,  Video ROGUE officer vandalize car Let justify GOONS action,MaandamanoThursdays,[0.55145884 0.30024573 0.14829542]
NyarangaTobby,  BABA always right Mimi Sina hio nguvu ya kumpinga,MaandamanoThursdays,[0.27544603 0.3700635  0.35449046]
MuthokaTito,  Kwee Funeral Home vandalise barely 2 day launch Nyongo,TanoTERROR Maandamano MaandamanoThursdays,[0.17500953 0.61905634 0.2059341 ]
Maxx_king3,  Watu wa Azimio next time si muende mumejipin tuone kama mtashinda time,MaandamanoThursdays,[0.5231031  0.31594148 0.1609554 ]
MuthokaTito,  Protest organizer order compensate owner vandalised shop,Maandamano MaandamanoThursdays,[0.44802687 0.43058693 0.1213862 ]
muriithij64,  Vox Populi Vox Dei,MaandamanoThursdays,[0.17343941 0.69693685 0.12962374]
MwauraGeek,  Mission kill eliminate use excessive force tell need break window aim directly occupant Zakayo Nabii mtoza ushuru lazima ushuke na utashuka,Nairobi RailaOdinga Railaspeaks,[0.45373031 0.37027803 0.17599165]
AbalaKinyuaa,  nothing happen Kenya arrest Kimani Ichungwah say arrest see,RailaOdinga,[0.5728049  0.35932502 0.06787004]
HarryGodfirst, ,Kenya MaandamanoThursdays,[0.3257778  0.38096133 0.2932608 ]
johnmark254,  Kesho baba atakupa mpya lazima hakuna excuse,MaandamanoMondays,[0.510123   0.35346383 0.13641319]
ViralTeaKe,  Raila hit President William Rutoled government try lead country back darkness compose colonial period fault police stifle protest,MaandamanoThursdays,[0.9072411  0.07934791 0.01341103]
ma_shete,  call legitimate government Fnck Kenya,MaandamanoThursdays Maandamano,[0.92804265 0.05555309 0.01640433]
LydiahAsh,  Amani Peace get live homeno caretaker bang door Well give Amani Gardens Kisaju size 50x100 plotswhere plot deposit ksh 70k Call 0726 702 530,MaandamanoThursdays ComfortHomes Comforthomesdeliver,[0.11835244 0.702855   0.1787926 ]
Onlineoptimize1,  one mission Babu Owino Luo Nyanza Kalonzo,Azimio,[0.28867206 0.52820194 0.18312603]
authenttick,  know Rigathi Gachagua play dirty know Arrest instead vera Rest peace imara daima,Raila MaandamanoThursday Nairobi RailaOdinga,[0.6083898  0.26071852 0.13089164]
EngrOchi,  accord UDA burn building Siaya importanter compare life lose police brutality experience today donge,RailaOdinga,[0.8815648  0.09915557 0.01927967]
Michael965335,  Whereas problem come face barricade behind GSUs,MaandamanoThursdays Maandamano,[0.85501057 0.12789954 0.01708988]
whitney_stesher,  LIVE SWORD ALSO DIE SWORD Sometimes theres freedom death,Pipeline OuteringRoad Maandamano RailaOdinga,[0.21045342 0.5783332  0.21121337]
nichomaingi,  do day Lets wait business disruption Monday,MaandamanoThursdays,[0.1998557  0.68122655 0.11891782]
KenyanMarketer1,  Spacious 2 amp 3 Bedroom Thindigua Philly Homes via REALTORS,038 MaandamanoThursdays Blazespaces Raila RHONairobi ChangeYourOilDNA,[0.03649377 0.86671674 0.09678952]
MiruniHerbert,  BRICS way go,Azimio Nairobi Kenya MaandamanoThursday,[0.22499314 0.3553421  0.41966474]
MwauraGeek,  killing mission Find Baba leader eliminate Kill,Nairobi Azimio,[0.3441869  0.50835335 0.1474598 ]
deelastking021,  Jeshii ya Ruto jeshii ya baba haiwezani tuzidii must demolish fooling youth,Azimio,[0.71096647 0.20086856 0.08816501]
ShaltonOnlineTv,  many want Monday Monday REPOST : via,Maandamano MaandamanoMondays MaandamanoThursday Protesters Nairobi,[0.08308718 0.80695647 0.10995626]
patricknzioka,  happen Kenya SAD stubborn opposition vs adamant government really insensitive political class side provocative inciteful speech young politician ICC might soon Kenyan customer,MaandamanoMondays Maandamano,[0.9381897  0.05058948 0.01122086]
marie_sly,  funny people keep insist one tribe affairbaba love many include pretend hate himpale kwa ground cheer like crazy RAO cant ignore whole mood,MaandamanoThursdays,[0.461833   0.2996096  0.23855741]
authenttick,  attempt assassinate Raila odinga find possible cause arrest Lakini stupid Kenyans wa Kenya kwanza wanasema ni Photoshop,Nairobi Maandamano MaandamanoThursday RailaOdinga,[0.81800264 0.16120902 0.0207883 ]
field_negroo,  Reports emerge Karen allege machine sustain 7 targeted gunshot convoy try wriggle way onto outering road Meanwhile 3 life brutally claim rogue officer Jacaranda must condemn cowardly strategy,RailaOdinga maandamano,[0.77768004 0.17507899 0.04724102]
Peterz_Model,  Set reminder upcoming Space Mr World Kenya 1st R give us guidance Pwani University Photoshop Kisumu Outering Road,theoutside manyofus MaandamanoThursdays Blazespaces Raila RHONairobi ChangeYourOilDNA,[0.1805135  0.6087384  0.21074808]
KamogaMunawa,  Kenyan leader survive assailant shoot car closerange todays protest pipeline Embakasi constituency Nairobi CBE,Azimio,[0.6624501  0.27546537 0.06208456]
kipchichir20,  Dear Ruto : Today Control POLICE Control MEDIA CONTROL Gachagua ( Sheep ) FORMULA restore PEACE Test MONDAY,maandamanothursdays,[0.16848728 0.63831896 0.19319381]
ArnoldWama59068,  Police officer protect public private business invasion Railas goon Good work kindiki Raila Odinga Ruto Rigathi,MaandamanoThursday Maandamano RailaOdinga PwaniUniversity,[0.2852511  0.29093987 0.423809  ]
ReBrandQuest,  demo see business loot never happen live thank deal thief,Tasia Beecentre Maandamano MaandamanoThursday RailaOdinga Raila Quickmart57,[0.6170986  0.26918277 0.11371855]
authenttick,  Raila Odinga claim attempt police take life youre advocate arrest instead Tassia vera Gatundu amber ray runda,RailaOdinga Raila MaandamanoThursday Maandamano,[0.54118466 0.3078512  0.15096407]
Peterz_Model,  Set reminder upcoming Space Join us 4423 830pm Mr World Kenya 1stRup take away Pwani University Photoshop Kisumu,theoutside manyofus MaandamanoThursdays Raila,[0.03589088 0.85262275 0.11148639]
mwamko_mpya,  country lead righteous president marry Intercessor,MaandamanoThursday Azimio RutoMustGo,[0.2981608  0.38155374 0.32028544]
RealSimbaC,  Thank search continue want everything criminal Everything identity Name Age Village Place residence Occupation Name spouse amp Parents Siblings etc must act,KOT MaandamanoThursdays,[0.77887654 0.19932342 0.02180002]
AzimioTv,  condemn brazen attack strong term possible|,MaandamanoThursdays,[0.63720816 0.27207932 0.09071251]
Bobby88Bob,  episode 3,uhuru MaandamanoThursdays,[0.23863728 0.5437329  0.21762978]
jaykashed,  Huyu anajaribu ku twist incident ili atetee goon,Azimio,[0.55812967 0.33823612 0.10363422]
benjabali,  Today 5AM Morning Instructions Simple SHOOT KILL * Vid Courtesy *,MaandamanoThursdays,[0.06008312 0.8385648  0.1013521 ]
KopanastivStiv,  hit man capture 20th aim gun Azimio leader Seems government hit man mission,MaandamanoMondays,[0.2533511  0.52959335 0.21705562]
vincentbwire9,  second day remember one Mike Sonko city mortuary deal backfire JOORH morgue Kisumu 🤔 day governor nyongo commission cant convince demonstrator BIG,MaandamanoMondays,[0.6911913  0.22111696 0.08769173]
254Taytoh,  nonsense stop turn deadly Kenyans deserve,Maandamano Nairobi PwaniUniversity MaandamanoThursdays,[0.9148715  0.05990672 0.02522173]
Jeshi_LaBABA,  Surely Plans Assassinate BABA Look Blood Thirsty Police Vid :,MaandamanoThursdays,[0.86202407 0.12210474 0.01587113]
retired_comrade,  Mission fail day1 come back water canon intimidate protestors colour achieve whatever mission confusion amp blur vision look act like hired assassin must smoke immediately,MaandamanoThursdays Raila,[0.9203972  0.06495883 0.01464394]
KopanastivStiv,  idiot capture aim gun Sifuna last week Seems hit man mission,MaandamanoMondays,[0.3558157  0.32273594 0.32144836]
EugeneAbilla,  sound use landcruicer like one Home Boys donate campaign least 2 backup,MaandamanoMondays,[0.1825049  0.60552806 0.21196704]
BeldeenWaliaula,  Sad watch,Raila MaandamanoThursdays,[0.92578894 0.05548391 0.01872712]
Ke_Dictionary,  Life problem solve reality experience,Kenyandictionary DailyQuotes Quotes KenyanQuotes MaandamanoThursdays,[0.14910825 0.69150597 0.15938582]
authenttick,  hit reciprocate impact twice Fire fire eagerly wait arrest warrant court arrest intimidate mere talk East Africa photshop,RailaOdinga Nairobi Maandamano MaandamanoThursday,[0.30976364 0.52156603 0.16867033]
Nabongo_XXII,  serious,Maandamano MaandamanoThursday RailaOdinga,[0.4096362  0.40108806 0.18927574]
MDD_KENYA,  Police today provoke peaceful protestors leave Babas vehicle shot 7 time live bullet wont deter Forward match Pipeline Arrest,Maandamano MaandamanoThursday RailaOdinga Raila Quickmart57,[0.7123794  0.24320026 0.04442039]
brianndungu70,  dont care political idol really goon go protest block road karen area idiots demonstrate love family first neighbor first,Raila RailaOdinga RutoMustGo Kisumu Pipeline Maandamano,[0.7553393  0.15625189 0.08840881]
ViralTeaKe,  Raila Odinga accuse police allege assassination attempt life protest,MaandamanoThursdays,[0.8885617  0.09658051 0.01485774]
AlinurMohamed_,  Look image Imara Daima Mukuru Kwa Njenga Pipeline Kwareclearly agree police problem longer maintain law order police vicious attack violence property distraction sad,MaandamanoThursdays,[0.8673662  0.11033323 0.02230055]
EddyKavai,  “ security free press ” Thomas Jefferson,Arrest Azimio,[0.11447679 0.6815714  0.20395176]
Wakarima_edwin,  car number Kenya Sisi sio wajinga buana 🤣🤣,RailaOdinga,[0.3798401  0.4367851  0.18337479]
OnguruMeister,  many birrions lose week Asking Gachietha,Maandamano MaandamanoMondays MaandamanoThursdays,[0.4693665  0.45981732 0.07081613]
HarryGodfirst, ,Kenya MaandamanoThursdays,[0.3257778  0.38096133 0.2932608 ]
HarryGodfirst, ,Kenya MaandamanoThursdays,[0.3257778  0.38096133 0.2932608 ]
OmaribaKE,  Journalists condemn increase attack colleague Azimio protest several injure today,MaandamanoThursdays,[0.88509756 0.09421973 0.0206826 ]
BenBESH,  Kenya kwanza full fiction story deliver HOT AIR kenyans iendelee,MaandamanoThursdays MaandamanoMondays,[0.22397213 0.37963057 0.39639732]
authenttick,  support Kenya Kwanza government youre mentally handicappedretarded way support character like Rigathi GachaguaRutoKimani Ichungwa wait arrest pipeline,Nairobi Maandamano MaandamanoThursday RailaOdinga Raila,[0.8752395  0.09432621 0.0304343 ]
HarryGodfirst, ,Kenya MaandamanoThursdays,[0.3257778  0.38096133 0.2932608 ]
dark_enock, ,MaandamanoThursdays,[0.3257778  0.38096133 0.2932608 ]
team_psycho23,  Surprise tune inspiration one afro Amapiano everybody jam available digital platform,shine LISAXCELINE Indore SupremeCourt ลัฟวี่ไม่เอาธันเดอร์โดม UkraineWar TATAIPL MaandamanoThursdays OpeningDay2023,[0.04533496 0.5633431  0.3913219 ]
ChanuaBoyChild,  Picture : future Kenyans finally realize,Kenya Demonstrations Kenya PoliticalTurmoil KenyansUnite EndDivisivePolitics PeacefulProtests CBD Mathare KwaNjenga Kawangware MaandamanoThursdays BLAZESpaces PwaniUniversity Photoshop Raila,[0.16246903 0.35689488 0.48063603]
authenttick,  know want arrest youre sure dare Ruto Rigathi Gachagua take risk ready deal repercussion Issue warrant mtuambie amepiga nani,RailaOdinga Maandamano MaandamanoThursday Nairobi,[0.4794174  0.40696868 0.11361389]
thecivican,  Azimio leader Raila Odinga convoy see Upper Hill,RailaOdinga,[0.26148665 0.5676694  0.17084397]
thecivican,  Raila Odingas convey teargas Pipeline area Nairobi,RailaOdinga,[0.13972932 0.74879247 0.11147827]
Buliba_,  THUGGERY MADNESS ANARCHY,MaandamanoThursday MaandamanoMondays,[0.9397037  0.04107186 0.01922445]
thecivican,  Sabina Chege Raila : Please put interest country first,RailaOdinga,[0.24830872 0.3772507  0.37444058]
Robaa82,  loot take coffin leave body outside 🤐 evil,KweeMortuary Azimio,[0.937144   0.05026549 0.01259058]
thecivican,  Raila take antigovernment protest Embakasi,RailaOdinga,[0.46592888 0.38800365 0.1460674 ]
RealSimbaC,  want identity make public attempt assassinate alone crime humanity MUST give us nothing name,Raila MaandamanoThursdays,[0.8711945  0.10528658 0.02351886]
KalosSays,  urge bring legislation deduct loses cause Azimio Chaos amp Political Parties Fund need accountability end madness,MaandamanoThursdays Raila SenileWelder,[0.9043045  0.07906185 0.01663369]
retired_comrade,  photo today pipeline must worry sane Kenyan Democratic gain chock brutalize watch God fear regime thirsty anarchy SAD,Raila MaandamanoThursdays,[0.9491248  0.03954828 0.01132686]
authenttick,  Youre angered fight right Kenyans Caption guy barbaric uncivilized uncalled Arrest see Kenya Pipeline Mc Fullstop,RailaOdinga Maandamano MaandamanoThursdays Quickmart57 Raila,[0.9412891  0.04439034 0.01432054]
JuniorTache,  peaceful Demos Government must protect common mwananchi,MaandamanoThursdays Kisumu,[0.2501465 0.3301581 0.4196954]
jaykashed,  Watu wa Kisumu hongera kwa muliyo fanya na mzidi vivyo hivyo,MaandamanoThursdays,[0.5336546  0.31322604 0.1531194 ]
Bearded_Mirara,  Kuna wasee walienda job kidogo gava ikaamua wacheze paintball mchana mchana,MaandamanoThursdays Maandamano,[0.42738858 0.38544002 0.18717141]
maelwak,  Leo hata sisi tumetupiwa teargas kwa Estate,MaandamanoThursdays,[0.44827482 0.37332216 0.17840303]
MwanthiJunior,  many poor soul enough many people die forget get share government like happen handshake,MaandamanoThursdays,[0.894434   0.09014305 0.015423  ]
Tuandamane,  Youths Outering Road Nairobi breathe fire thousand police deploy chase protective gear grab try barricade road block convoy Let try touch baba Kedong ranch Narok Babu Owino Kisumu Kibra,Azimio Raila,[0.3603943  0.40723348 0.23237221]
Ibn_mimano,  story courage triumph forever enthrall Poem AI,RevolutionNow RutoMustGo kenya MaandamanoThursdays,[0.1768654  0.28323126 0.53990334]
Jeshi_LaBABA,  STATE HIRED THUG,MaandamanoThursdays,[0.6335346  0.23422757 0.13223782]
peteryegon22,  Kisumu people muendelee kuaribu biashara zenu chase investor,MaandamanoThursdays Maandamano Kisumu,[0.34655106 0.35257775 0.3008712 ]
jaykashed,  Peaceful demonstration Kisumu let everyday,MaandamanoThursdays,[0.16451912 0.27844086 0.55704004]
stephenmuriun11,  Dont forget recent fulfil PROPHECY,MaandamanoThursdays,[0.1674051 0.6572102 0.1753847]
EdwinEdwardo7,  Rip,MaandamanoThursdays Ahoufe,[0.78888494 0.1728894  0.03822572]
Moha87574655,  Goons know organise invasion loot property destruction blame Azimio,MaandamanoThursdays,[0.92024326 0.06765738 0.01209944]
stephenmuriun11,  Dont forget recent fulfil PROPHECY,MaandamanoThursdays,[0.1674051 0.6572102 0.1753847]
LordessJohjoh,  STATE NATION ilifikia hapaa Wuuuueeeeh,MaandamanoThursdays,[0.29795435 0.3245613  0.3774844 ]
kevoprezzo,  protest NEVER open business premise Among protestors always criminal Advice nyanza Azimio stronghold DONT open business coz high risk get Looted,MaandamanoMondays MaandamanoThursdays,[0.9149921  0.07031082 0.01469702]
Mathew_murage,  Citizen tv medium house show thuggery demonstrator Tassia pipeline business premise use whole newshour tell us lose sheep Sawa tu,MaandamanoThursdays,[0.8009525  0.15548277 0.04356474]
rz3n4cz3n,  Sai TikTok iko reliable kushinda news,MaandamanoThursdays Maandamano,[0.30525362 0.47099102 0.2237554 ]
Jeshi_LaBABA,  Different Occasions Police OfficerSame Mission SHOOT KILL,MaandamanoThursdays,[0.70190716 0.274387   0.02370587]
HON_GGWACHIRA,  three word explain chaos witness Kisumu Pipeline Outering road police response hardline stance government THINGS FALL APA,MaandamanoThursdays Raila,[0.76305425 0.21689767 0.02004807]
stephenmuriun11,  remember,MaandamanoThursdays,[0.292098   0.4220962  0.28580582]
waryawarya19,  WOULD TEARGAS FASTING MUSLIM ADD BROTHER PRAYERS,Azimio MaandamanoThursdays Maandamano MaandamanoMondays,[0.8050689  0.15894702 0.03598408]
team_psycho23,  magical team come heal sound available music store,shine LISAXCELINE Indore SupremeCourt MaandamanoThursdays RamadanKareem UkraineWar OpeningDay2023,[0.06046283 0.5046223  0.43491492]
benjabali,  Dude,MaandamanoThursdays,[0.39355832 0.31396458 0.29247704]
JimmyKibunja,  Whatever sign today felt 4/5 year come would like think smarter thus agree term look exit strategy rarely corporation outsmart,MaandamanoThursdays baba Ruto,[0.25923473 0.3541385  0.38662678]
Mathew_murage,  wish Eric isinta journalist get injure QR Police demonstrator aught respect journalist give free medium coverage camera go demonstrator police organizer God protect,MaandamanoThursdays,[0.7869648 0.1512561 0.0617791]
dully_kimz,  Raila Says Car Shot 7 Times Live Bullets Assassination Attempt,MaandamanoThursdays Raila TheView,[0.64217955 0.32940823 0.02841214]
stephenmuriun11,  remember,MaandamanoThursdays,[0.292098   0.4220962  0.28580582]
stephenmuriun11,  remember,MaandamanoThursdays,[0.292098   0.4220962  0.28580582]
benjabali,  SHOOT KILL,MaandamanoThursdays,[0.54869694 0.33828166 0.11302137]
MissCixx,  Guys pay rent ama cha muhimu ni mawe,MaandamanoThursdays,[0.3762451 0.4083971 0.2153578]
Daryldesiderium,  Cut anyman doesnt access woman coz backstab sex,MaandamanoThursdays raila ChangeYourOilDNA Blazespaces RHONairobi,[0.7798574  0.19825199 0.02189059]
SosPee_Tvee, ,Maandamano MaandamanoThursdays,[0.3257778  0.38096133 0.2932608 ]
OlechePens,  Sad,MaandamanoThursdays,[0.3882405  0.4007     0.21105945]
Brianosiema,  wafungue server story iishe,jacaranda Tassia MaandamanoThursdays,[0.77240837 0.18328676 0.04430491]
Tevinchy,  Police kisumu long day kondele,MaandamanoThursdays,[0.41048735 0.33373675 0.2557758 ]
SallyBolo,  Eish,MaandamanoThursdays,[0.6586775  0.23266453 0.10865797]
RBryan275,  guy injure journalist youve get new customer incoming,MaandamanoThursdays,[0.31472632 0.5445669  0.14070676]
iam_mevin,  Kenyans need love country individual~julis malema,MaandamanoThursdays,[0.3149701  0.40975785 0.27527207]
Tall254,  wonder politics politics principle politics power Kenya,MaandamanoThursdays Maandamano,[0.19852836 0.52157056 0.27990103]
joeamanon,  day age line argument u prop fools paradise back u come Btw u see circumcised coward steal sheep day,MaandamanoThursdays,[0.82195604 0.12248957 0.0555543 ]
MosesNgigeKE,  Kenya Today,MaandamanoThursdays MaandamanoMondays,[0.27233353 0.48553318 0.24213327]
BashirXaqdoon,  think people avoid kisumu together Luo vandalise property,kisumu kenya MaandamanoThursdays,[0.7731867  0.18612194 0.04069136]
MutuaLoyd,  1 soul lose 2nd 1 soul lose Today 2 soul lose many soul want Prince Violence Raila Odinga,maandamanomonday MaandamanoThursdays,[0.802914   0.1704135  0.02667243]
Lemmy_masai,  must approve show Great BABA,ArrestRaila MaandamanoThursdays,[0.0507567  0.07501203 0.87423134]
