username,lemmatized_text,extract_hashtags
SanyaNabwana,  Pictorial Thursday,MaandamanoThursdays
HarryGodfirst, ,Kenya MaandamanoThursdays
TradearlNewsSvc,  aside Bungoma man win ugali eating contest finish 2 kg ugali 35 minute,MaandamanoThursdays TradearlNews
ommwambaKE,  Hapa Outering Road police run life Runda Pwani University RIP William Ruto Babu Owino Baba Kayole Raila Odinga Malema,MaandamanoThursdays
MukuruSPA,  Photo day land cruiser mabati house political class always look slum dweller thing work favor handshake happen forget us Tuambiane ukweli pia,MaandamanoThursdays
CosnameTv1,  GSU officer head Outering Road control situation protester overpower officer,Azimio Nairobi JKLive Raila MaandamanoThursdays cosname
OgaOchoro,  look people take ICC na Watu wake watakuwa clean kama pamba Interesting time ahead work government,MaandamanoThursdays
NabwanaSanya,  Pictorial Thursday,MaandamanoThursdays
it_kibe_,  dawn Raila never president kenya want William Ruto fail kenyan may suffer make president despite beg vote 5 time Runda Babu Owino | Outering Road | Karen | pwani university,MaandamanoThursdays
PopularStories_,  Kalonzo Musyoka speak suspected Raila Odinga assassination Today Azimio team Imara Daima pipeline along outering Road,MaandamanoThursdays
JustDerro,  think io session iliisha haraka kama ya blunt mojaEven government operation zinaanza kua paralyse,MaandamanoThursdays
Qim_Lion,  * WHATSAPPFORDAILYTIPS * * +254794983876 * CONGRATULATIONS * Swafiii Sanaaaa * KICK 22:15Pm * DAILY 40+ Odds ready claim TODAY TiPs *,MaandamanoThursdays
HarryGodfirst, ,Kenya MaandamanoThursdays
MKENYA_SHUJAA,  Hooligans lead LORD VIOLENCE chase away police outering road Quite unfortunate,MaandamanoThursdays Maandamano
HarryGodfirst, ,Kenya MaandamanoThursdays
Onesmus_Musyoki,  Murife must go,MaandamanoThursdays MaandamanoMondays
vinsoulworld,  ’ crazy Siaya Gem specific,MaandamanoThursdays
DuncanKhaemba,  rate journalist cover protest attack injure alarm suspect Monday Thursday violence medium crew add Yes,Azimio Journalism Crime
nicholas_64,  today investor Kisumu go bankrupt less 6 hr goon loot supermarket others tell us Narok Runda Babu Owino Karen Outer Ring Road William Ruto,MaandamanoThursdays
thaking_jobu,  always peaceful till police show shape,MaandamanoThursdays MaandamanoMondays
Maxpac2,  make demo Mondays daily affair,MaandamanoThursdays
deogratiuslang1,  kalenjin TBH always support since Raila Odinga thank election loss help deepen Kenya ’ democracy support daily Unfortunately hope wont tire fighting democracy country,MaandamanoThursdays MaandamanoMondays
ViralTeaKe,  Raila Odingas convoy spray pink water police water cannon Outering Road,MaandamanoThursdays
silasbogonko,  court decision case,MaandamanoThursdays
MwangiGideon6,  choice air bias lot business make great loss due vandalism due shenanigan choose air Shame,MaandamanoThursdays
Frankenyatta254,  support responsible medium coverage event would advise consider safety first go cover event medium friend use helmet etc,MaandamanoThursdays PwaniUniversity
brian_ombui8,  Azimio need tame individual take advantage demonstration destroy people propertiesRaiding supermarket kisumu burning UDA office Siaya go spirit peaceful demonstration,MaandamanoThursdays
MusyimiKe,  post quote Aramat enough ground beef security Kedong land claim land lead court Using incitement arm twist police bad precedence go around come back around,MaandamanoThursdays
sadiqsaadke,  Waziri Golf Experience 2023 Edition take place Diani Golf Course Kwale County lead ICT Digital Economy CS Register amp come tee tech leader,ConnectedSummit2023 DigitalEconomyKE MaandamanoThursdays
MigosiAmbrose,  Kenyans loot avocados overturn pickup Ndarugo area along Thika Road spot truck carry maize bean overturn Last week ilikuwa wapike githeri Leo wameongezwa Avocado 🥑 | Outer Ring Road | Nairobi|,MaandamanoThursdays Maandamano
ShaffieWeru,  Missing work celebrate day en turn premium tear employer ’ start deduct salary employee work day miss,MaandamanoThursdays MaandamanoMondays
K24Tv,  Hon James Gakuya : country belong us Destroying country value anyone fight neighbour instead crush,MaandamanoThursdays K24Siasa
Kony_One,  Nothing come free : Maandamano death distraction loss must ready bear respect Country,MaandamanoThursdays
mbate,  problem thuggish government tell looter areyou pin point Azimio demonstrator government demonstrate ability willingness engage thuggery,MaandamanoThursdays
mnurferuz,  Jamia mosque owner cry loot,MaandamanoThursdays
michael1980kim,  democracy ur preaching station bado mtalimwa na hao wakora,MaandamanoThursdaysna
the_socrato,  Look bark loudestAlso observe huge black dog carry itselfLearnt something,MaandamanoThursdays
dennisobande63,  one law Police rule demonstration Unaskia na wapi,MaandamanoThursdays
Hekock,  Raila good cannibalise,MaandamanoThursdays
AfricaTembelea,  Azimio la Umoja One Kenya coalition party leader Raila Odinga defiantly reiterate antigovernment protest continue despite government declare illegal,KenyaKwanza MaandamanoThursdays
Davido_Lubi,  Outering Road hakujakuwa kuzuribt nway go manday,MaandamanoMondays
jaytheo07,  Moments accisdent bus see overspeed pwani university,MaandamanoThursdays RIP
RichardJosephO1,  Lesson learntnever take side bad mistake fee police officer,MaandamanoThursdays
Chebon_Esq,  participate cos Ruto hakuniappoint CAS irreducible minimum nikuandikwa CAS,MaandamanoMondays
alaba_hallo,  Quality soccer ball 0728139168 Ruto siaya Raila,MaandamanoThursdays
pessahdaud, ,MaandamanoThursdays CitizenNipashe Istand
LawrenceAd74690,  man mine heartsomeday youre go country sit backlament treat youhow ungrateful youth knw nothing abt spew triviol hate msg day remember,MaandamanoThursdays
justriua,  Dear Azimio nobody lie theres force somewhere get Ruto power demonstrate want hes stay FACT,MaandamanoThursdays
RonaldKabiru,  vandalise struggle person behest rich one,MaandamanoThursdays
shaddydavid,  Police use live ammunition outering road pipeline,MaandamanoThursdays
_joh95,  Peaceful demonstration well police kware decide stupid,pipeline MaandamanoThursdays
Davidkimmzz,  aside ifb,MaandamanoThursdays
yussufu20,  really bad blink eye man make poor Embakasi demontratiom today clique Azimio demonstration others intention looting vandalism must call,MaandamanoThursdays
banakenya,  Protesters use large homemade catapult throw stone police Patel roundabout Kisumu City injure police officer William Ruto Pwani University RIP Gatundu Imara Daima Kedong Babu Owino,dpgachaguaspeaks MaandamanoThursdays JKLive
jaytheo07,  demo leave many people lot problem,PwaniUniversity MaandamanoThursdays
sobukwe_nonkwe, ,MaandamanoThursdays
KenyaNiYetuSote,  Outering road kamenuka vibaya sana saa hii AVOID,MaandamanoThursdays
MashMyk,  Keep Speaking,MaandamanoThursdays
Tabbykanyungu, ,MaandamanoThursdays
Chach_a_,  Kimanis scapegoat,MaandamanoThursdays
paulmwiu,  sure sleep like baby tonight owner worker Jamia Supermarket route low cost live Jamia Supermarket own happy,MaandamanoThursdays
myron_mhindi,  man Bomet Central Ndarawetta ward chop kill two child due family misunderstand humanity go foreal RIP Runda Ruto Pipeline Babu Owino,MaandamanoThursdays
IanSeli,  whore pro azimio careful cover maandamano character like Babu owino amp wajakoya give mic cut sound,MaandamanoThursdays
kamuyu_david,  real street hustler come,MaandamanoThursdays
Dee19851,  protester hired goon clearly orchestrate cause ripple effect,LangataSouthlands OuteringRoad PwaniUniversity MaandamanoThursdays
bekimwamburi,  NTV Senior Cameraman Eric Isinta grossly injure cover Thursday ’ Mass Action protest wish quick recovery wish quick recovery,MaandamanoThursdays Maandamano Raila
ItsRamenya,  witness Kenya criminal jurisdiction ordinary demo much loss one person win election,MaandamanoThursdays
ayika_joshua,  men blue force safety public gallery overpower 100 Plus GSU officer station outering road vow never step Zone mark RED ZONE,Raila MaandamanoThursdays
odindomarvin,  Raila Odinga say run President 2027 still use Luos protest end protest worsen cost live funnily organiser seek reduce,MaandamanoThursdays BabuOwino Outering
ma_shete, ,MaandamanoThursdays MaandamanoMondays
Felistakare,  Toyota Auris 2016 model 1500cc Petrol Auto Asking Price 177M NEG ( Bank Finance amp Trade OK ),SpaceYaMagari Raila FreshandEasy dpgachaguaspeaks ThikaRoad maandamano MaandamanoThursdays RepoRate
2015ArthurM,  witness peaceful PICKETING whole day today police barricade road even throw several teargas canister towards crowd Azimio motorcade Outering Road Pwani University Mombasa Pipeline Kisumu RIP,MaandamanoThursdays Raila
Nicksonlennox,  Pale oyugis wamemaliza mandamano go home use GK,MaandamanoThursdays outeringroad rip
LasicGendi,  out Ring road pipeline,MaandamanoThursdays MaandamanoThursdays Maandamano Raila Survivor
ngetichkipto,  President hesitant approve arrest,Raila MaandamanoThursdays
GkEdmunds, ,MaandamanoThursdays
StanleyLugalia,  Chaos erupt along Outering Road police overwhelm protester Security officer force retreat mob angry protester pursue running battle protester manage breach barricade,Maandamano MaandamanoThursdays
jiwakilishe,  Mandamano brigade awhile ago Pipeline Kware Nairobi,MaandamanoThursdays
musasia_titus,  Kimani ichungwa lead arrest Raila Odinga,MaandamanoThursdays Maandamano
CRECOKenya,  need get thing right need audit national accord issue raise Kenyans issue raise 2008,TekelezaKatiba MaandamanoThursdays
gabu_ekim,  Raila imebidi amefunga kazi mapema leo Today good day,MaandamanoThursdays
Tasha_ke746,  15+ Odds Basketball game rarely disappoints🥳 ⏰ 7pm ( Free money stake well ) Thika Road Kisumu Bandits Malema Pwani University Babu Owino Eldoret RIP Kayole,MaandamanoThursdays Raila
knjorokenya,  sorry peaceful demo,MaandamanoThursdays
martin_muchai14,  work Kenyan work Nation Peace love unity Hustling inorder eat need working nation Making Kenya great,Maadamano MaandamanoThursdays RailaOdinga PresidentRuto KenyaKwanza Azimio
kibetfelix254,  Unaonaje msupa tumekula hii teargas si twende kwangu tutear meat nimepika na gas yangu,MaandamanoThursdays korom
MKENYA_SHUJAA,  Peaceful demo indeed,MaandamanoThursdays Maandamano arestRaila
BennonMaina,  Signs Socialist Fatigue : Repeating thing recycling idea expect different result Take bow ’ serve well ’ risk rapuring drum insanity,Maandamano MaandamanoThursdays
MumbiJosphen,  day AWARD go drum rolls🥁 Oyugis squad🤣🤣 Yani guy literally take police car na wakasonga mbele swiftly🤣🤣 Outering road Europe Babu Owino Gachagua,MaandamanoThursdays Maandamano Raila
Mekatili_KE,  Ilikuwa ni Machos akikumbuka train ya Tear gas huko Kiganjo,Protests Maandamano MaandamanoMondays MaandamanoThursdays
Moha87574655,  political sellout also speak,MaandamanoThursdays
waziri_fujo,  Kenyans hear government receive 56B B,MaandamanoThursdays
G_oigo,  Violence best friend,MaandamanoThursdays
Miragekitchnwre,  sell kitchen appliance 🥣 * 10pcs aluminum cookware set * Bosch 10 pc granite cookware set * 24pcs dinnerset * 6pcs ceramic mug 0798595049 Outering Road|Runda|Babu Owino|Pipeline|Pwani University|William Ruto|,Raila|MaandamanoThursdays
Denoxyl,  fake government doesnt realise Raila odinga hype Nairobi estate big one do Nairobi City unannounced,MaandamanoMondays MaandamanoThursdays
BKBTheWizard,  anyone dead along outering Road,MaandamanoThursdays Maandamano
Koffi_brianKE,  literally eye wet badwe cant continue like country one🤦‍🤦‍ surely solution need achieve sooner good weve see Outering Siaya etc bad,MaandamanoMondays MaandamanoThursdays
dogweno29,  ready Monday,MaandamanoThursdays
a_ct_cool,  Kama uko maandamano huko pipeline please nikujia na chapo mbili Kindly,MaandamanoThursdays
WranglerSmall,  Raila na CBD ni kama Maji na mafuta Enyewe high cost commodity,MaandamanoThursdays pipeline
ni_sote,  Ruto cleverly camouflage Azimio Europe🤣🤣🤣,MaandamanoThursdays Maandamano
tobiasmuendo1, ,MaandamanoThursdays Maandamano
Jeshi_LaBABA,  Today JESHI LA BABA Salutes MothersSistersDaughters Pipeline Kwa Kutunyunyuzia Maji Ya Baraka,MaandamanoThursdays
penidosh,  call day well try Friday : Members day Sat : Ajawa world Sun : Repenting sin commit Outering Road Babu Owino Runda Mathare Pipeline,MaandamanoMondays MaandamanoMondays Raila
MutahiNgunyi,  Dear Ruto : Today Control POLICE Control MEDIA CONTROL Gachagua ( Sheep ) FORMULA restore PEACE Test MONDAY,maandamanothursdays
fruitof_the,  Field 199697 Sessions aka Killin Field via,DnDMovie Sixers BvlgariXZeeNuNew MaandamanoThursdays Survivor Dasarareview PVLFinalsGame3 NewMusic2023 vunzigewoensdag YouTube JUNGKOOKxCALVINKLEIN
TradearlNewsSvc,  Arrest beat back Azimio leader Raila dare Government — Citizen TV,MaandamanoThursdays TradearlNews
issa_jnr1,  Baba seek another strategy hii maandamano run life Common mwananchi,mandamanothursday Maandamano RailaOdinga embakasi Gachagua moseskuria ichungwa nyoro
victorooko,  pressure MrRuto arrest Raila Odinga approval await,MaandamanoThursdays
gabu_ekim,  hopefully mko ready,MaandamanoMondays
matatufreak,  BumbleBee Call Boeing TV kwa kila kiti,MaandamanoThursdays Kisumu Amberay Matatu
Colonizer_ke,  Nobody own life,PwaniUniversity MaandamanoThursdays
IanSeli,  Azimio supporter Oyugis break hearty celebration carjack make away antiriot police vehicle,maandamanothursdays
OkothOchiengS,  Dear condemn Everyday mass shooting country amp dare make Kenya look cc,MaandamanoThursdays
githuog,  MAJORITY shenzi sana Ruto MUST GO,MaandamanoThursdays
DNdunguMaina,  Cost living must come Wananchi declare one voice,Maandamano MaandamanoThursdays
JerseyOutlet_ke,  BVB 4th kit available Kshs 1300 jersey Kshs 400 printing Kshs 100 badge 0100100105 Pwani University Pipeline Siaya Kisumu Imara Daima Naivasha Outering Road Babu Owino Trade CS Moses Kuria Nairobi,MaandamanoThursdays Raila
Bwoytez,  heated conversation two best friend batimayo fungua machotoooouchhhhh,Raila Maandamano MaandamanoThursdays
Toxic_evertoxic,  Insurance company apa inawauma mbaya sana 🤣,MaandamanoMondays Maandamano Raila RutoMustGo
KinotiGitonga1, ,MaandamanoThursdays
NjokiCocktail,  sell discount data 5GB @ 250 10GB @ 350 20GB @ 450 50GB @ 550 75GB @ 650 100GB @ 750 Decoders Unlocking 1500 Mkopa phns Unlocking 1500 whatsapp 0789353343 Retweet pls Kayole Malema Uhuru Raila Babu Owino Rip comrades Dp Gachagua Pipeline Condolences,MaandamanoThursdays
SayioreJack,  Coward Regime Lead Rigathi Gachaguaknows Handle man want eliminate himBy use police officer must stop Kenyans patriot,MaandamanoThursdays
Amollo10,  Haha Siaya CBD Siaya look like dust bin,MaandamanoThursdays
NjokiCocktail,  sell discount data 5GB @ 250 10GB @ 350 20GB @ 450 50GB @ 550 75GB @ 650 100GB @ 750 Decoders Unlocking 1500 Mkopa phns Unlocking 1500 whatsapp 0789353343 Retweet pls Kayole Malema Uhuru Raila Babu Owino Rip comrades Dp Gachagua Pipeline Condolences,MaandamanoThursdays
_Vornie,  situation XYZ Republic deeply concern Corruption violence political instability become norm time international community take action support people XYZ Republic fight democracy,MaandamanoThursdays
ngetichkipto,  Tena sio Nairobi bos Ama ni juu ya,MaandamanoThursdays
Erasto_I,  girl,MaandamanoThursdays Maandamano Raila
ramsey_yash,  William Ruto ’ Presidential portrait fall Ole Sereni Hotel arrive preside American Chamber Commerce Summit Someone say bad Omen Dalili ya Mawingu Zakayo Shuka,MaandamanoThursdays
NjokiCocktail,  sell discount data 5GB @ 250 10GB @ 350 20GB @ 450 50GB @ 550 75GB @ 650 100GB @ 750 Decoders Unlocking 1500 Mkopa phone Unlocking 1500 whatsapp 0789353343 Retweet pls Nairobi Uhuru Raila Babu Owino Rip comrades Dp Gachagua Pipeline Condolences,MaandamanoThursdays
Toxic_evertoxic,  Pale Outering Road tuko imara mbaya sana,Maandamano MaandamanoMondays maandamanothursdays freedom raila ruto
johnxmacharia,  Police await Ruto ’ approval arrest Raila,outeringroad railaodinga maandamanothursday
solo_ambuku,  History judge harshly subject country kind perennial suffering comeuppance political nemesis massage ego Kenyans good must condemn nonsense Embrace,MaandamanoThursdays Maandamano LawAndOrder
wembe_sita,  stupid notice aka Moshene update beyond professional security organ exist massage ego politician safe guard constitutional dispensation Moicame Went kibaki tooboth kenyattas,MaandamanoThursdays
Akokosolomon,  public domain without police agitation irritationthere would minimal destruction violencepolice nuisancerecipe catalyst violencelets turn,MaandamanoMondays
KiguruKimani,  summit end high note Moderna announcement Government flip side hear leadership complain quantity teargas award today exceed requested amount,USKenyaTradeRelations KenyaKwanza azimio
MKENYA_SHUJAA,  people bring bookHii upuzi ya maandamano stop Raila hold responsible shenanigan,Maandamano MaandamanoMondays MaandamanoThursdays
Erigits_strong,  acceptable name peaceful demonstration Raila hold accountableInnocent citizen Jamuhuri rob Kibra goon cause havoc Pipeline Imara Daima Outerring country cant go like,MaandamanoThursdays
CaptainKipkorir,  Massive looting protester happen today Kisumu Several Shops Kiosks supermarket broken bad Moses Kuria Narok Gatundu Runda Pipeline Kayole Outering Road Martha Karua,Azimio dpgachaguaspeaks
wembe_sita,  day understand constitutional mandate day free kenya shackle post colonial comatose Oath office first constitution sovereignty vest people teargas,MaandamanoThursdays
patricksafariR,  Dear Kindly Monday stand side road dispense drinking water show direction peaceful demonstrator Dont engage protestors use tear gas water Canon rungus,MaandamanoThursdays
AzimioTv,  Wangapi sasa wanataka Maandamano iwe Monday Monday Piga retweet basi,MaandamanoThursdays
NdunguWainaina,  Looting shop supermarket kiosk Kisumu Gov Prof Anyang right succumb intimidation,MaandamanoMondays
K24Tv,  Gabriel Muthuma : Certain people believe think break law get away feel supporter get circumstance,MaandamanoThursdays K24Siasa
whitney_stesher,  TEARGAS amp WATER CANONS ENERGIZERS : state deal 18M Kenyans believe amp Azimio ideology,pipeline outerrimg Maandamano azimio Baba
PhilWesonga,  Let BRING,Maandamano MaandamanoMondays
Cevin_owuor,  Kwani walileta flavour mpya wa maji kutoka Kwa hizi canon release today outering road🥺Hii inawasha sana bana,MaandamanoThursdays
solo_ambuku,  Shame cohort turn country derelict warfields call peaceful demonstration per Public Order Act sue damage loss life aggrandizement,Kuzimia RiotersForRent Syria MaandamanoThursdays
benjabali,  Ruto Gachagua Days Numbered Count Well ~ BABA,MaandamanoThursdays
MundiaMS,  goon break premise make away good worth million dont think video make citizen tv Embakasi,MaandamanoThursdays RailaOdinga
Kimaani,  sad still see journalist bear brunt bring reality public eye worrisome public remain absolutely unconcerned situation spiral control,JournalismIsNotACrime MaandamanoThursdays
Viwakproperties,  | Pipeline Outering Road Naivasha Siaya Mukuru Nairobi njenga |,MainaAndKingangi MaandamanoThursdays JKLive Viwakproperties
TrueKenyans,  Ruto amp Gachagua day numbered count well Raila Odinga,Maandamano MaandamanoThursdays
okoth_ke,  Baba wait way forward,MaandamanoThursdays
degypsyking,  Baba shall continue do yet,MaandamanoMondays
banakenya,  Kisumu protest injure Police officer use giant catapult Outering Road Pipeline Martha Karua Narok Kayole Moses Kuria RIP Runda Babu Owino Gatundu,Maandamano Azimio
OmaribaKE,  Maji ya leo ni color,MaandamanoThursdays
Jeshi_LaBABA,  Ruto Gachagua Days Numbered Count Well ~ BABA,MaandamanoThursdays
KalosSays,  take chaos pipeline safe V8 leader worth salt conduct protest car,MaandamanoThursdays
muniu_ke,  Hata sisi wa serikali ni yetu tunalia gharama ya maisha iko juu know violent demonstration best solution,MaandamanoMondays Maandamano MaandamanoMonday
ngetichkipto,  Permanent purple dye use police Tomorrow Police walk estate arrest people dye,MaandamanoThursdays
nichomaingi,  owner Kenya dont want tittle name CHANGED reason every,Maandamano MaandamanoMondays
otienomjomba,  police behave protester follow suit Todays protest success choose wrong route access Eastlands Police 1Azimio 0 Aggregate Police 4 Azimio 10,azimio pipeline MarthaKarua Narok babuowino Gatundu
OmaribaKE,  Police deny abet hired goon cause mayhem Nairobi ongoing,MaandamanoThursdays
Midila_Thunder,  Urgly scene Kenya Police,MaandamanoMondays Maandamano
KalosSays,  UDA bring bill charge looting damage demonstration political party fund way organizer take care protestant,MaandamanoThursdays Raila SenileWelder
KelvinSotsi,  justification exist brutality resident Pipeline endure afternoon Ruto Gachagua day numbered count well ~ Raila Odinga,MaandamanoThursdays
MusyimiKe,  Police act like dont know plan attack respond damage do either intelligence department someone tell ignore Kedong Ranch RIP Comrades,MaandamanoThursdays
jashal_medicare,  MoneyEasily marketing network $ 14 million pay 300k member MoneyEasily let regular user make money social medium friend Thika Road Babu Owino,1 Maandamano MaandamanoThursdays
TheBlessedOne24,  Im look job receptionist/Office admin within Nairobi cbd Contact 0768931000/blessedlin111 Karen Eldoret Eric Omondi Babu Owino Dj Faxto RIP Northlands Raila Uhuru Pwani University Nairobi Maxine Wahome Amber Ray,AmChamBizSummit MaandamanoThursdays
Moha87574655,  Goon say others bad manner,MaandamanoThursdays
K24Tv,  Dan Kibet : Let solider make lot progress 6 month compare previous regime Mr President derail sure time everything come play support fully,MaandamanoThursdays K24Siasa
osamaoloo,  Stop overconsuming Food eat satiate hunger dissipate emotion Media optimize feed education entertainment Books read gain hindsight introspect gain insight write gain foresight,MaandamanoThursdays
MoishyleezKevin,  scene outering road ugly turn bad part country way go Kenya,MaandamanoThursdays
GovOparanyaFan,  Rutos action foolish must understand voice people voice God shall come home roast,MaandamanoMondays Maandamano MaandamanoThursday
waza_news,  challenge parent understand circumstance know measure take help child kid learning disability thing :,disabilitystudies learning Nairobi Raila MaandamanoThursdays
KiguruKimani,  President announce opening vaccine manufacturing plant Kenya first one kind Africa Government move rate match,KenyaKwanza Azimio
NationAfrica,  Azimio leader Karen currently gather meeting expect hold medium briefing moment,MaandamanoThursdays: Maandamano
muniu_ke,  opposition demand lot use high cost live lure us demonstration know sure violent protest cause harm economy,Maandamano MaandamanoMondays MaandamanoMonday
TradearlNewsSvc,  Police lob tear gas protester Outer Ring Road Azimio antigov ’ protest continue,MaandamanoThursdays TradearlNews
c_bwibo,  evident Kenyans allergic yellow fever country anything yellow must go,maadamanoonthursday babuowino azimio pipeline Nairobi
NevilNiga,  report live Outering Road guardrail railway fence Sad scene,MaandamanoThursdays
JmMusoma,  Azimio supporter chase police stop folowing RailaKalonzoKaruaBabu Owino others Pipeline Embakasi South,Maandamano MaandamanoMondays MaandamanoMonday Maandamanothursday
KamogaMunawa,  Kenya,MaandamanoMondays
Tasha_ke746,  Never miss basketball slips🥳 Theyre always 99 % sure Ill drop one slip 🤞 Thika Road Kisumu Bandits Malema Pwani University Babu Owino Eldoret RIP Kayole,MaandamanoThursdays Raila
nichomaingi,  go Pipeline cause chaos leave Karen peace Next time start Stop lying Kenyans,MaandamanoMondays Maandamano
Austinejuma001,  Urgly scene Kenya Police tire,MaandamanoThursdays
zteedz,  go zone,donholm Maandamano maandamanothursdays
K24Tv,  Police protestors engage Outer Ring road,MaandamanoThursdays K24Siasa
MsPoliticianKe,  Rutos potrait fall walk God clearly say Ruto NEVER choice fall come soon,MaandamanoThursdays Raila DjFatxo misstrudy teachers
MukuruSPA,  Current State pale Outering Road Pipeline Big Pipeline resident pour water protester police teargas Watu wa pipeline hawajazoea teargas Raila Odinga unpredictable,MaandamanoThursdays
cabdinassir,  justification exist brutality businessman endure afternoon Kisumu Hii ndio maana ya,MaandamanoMondays MaadamanoThursdays
theafricanwatc_,  Azimio leader pen condolence message Pwani University fraternity follow fatal accident along NairobiNakuru highway today Thursday 30 March 2023 Atleast 14 people succumb accident,RailaOdinga
MoishyleezKevin,  wrong,MaandamanoThursdays
NationAfrica,  Railas convoy along Ngong Road clear head Azimio coalition 6pm end demonstration day accord Constitution,MaandamanoThursdays: Maandamano NationLiveBlog
tsimunga,  Even police afford high cost living fight citizen fight,Baba azimio Maandamano
CaptainKipkorir,  UDA office Siaya set ablaze peaceful protester day Kisumu UDA office make clear UDA office Babu Owino Gatundu Winnie Odinga Trade CS Moses Kuria Westlands Kayole,Azimios Raila MaandamanoThursdays Azimio
magwaz3,  Hell break loose police Outering Road Nairobi provoke peaceful youth even protest come barricade Outer Ring road block convoy lead Odinga Narok Kedong Ranch Babu Owino Siaya UDA Kisumu,Azimio Raila
OnguruMeister,  SM people dont listen word Gospel,MaandamanoThursdays
ChristineMangi,  Scenes Outer Ring Road : Heavy police presence police lob tear gas protester Cows catch melee,MaandamanoThursdays
kipRuto_Ruto_,  Pwani University May lost live RIP,Azimio dpgachaguaspeaks
TalibDaishin,  Like agree retweet disagree,MaandamanoThursdays
Peterz_Model,  Finally people thought one side Pwani University Siaya,MaandamanoThursdays Raila
nellobando,  know Raila control half country even hustler side join life unbearable,MaandamanoMondays
Hurdsonmatata,  lose country show violent scene encourage commentate happily Kids watch Shame,MaandamanoThursdays
NabwanaSanya,  Kenya Police BRUTE apply Northlands farm MondayInstead energy misguide,MaandamanoThursdays
ItsGlado,  Direction important speed people go nowhere fast,MaandamanoThursdays
HajjAbdiwahid,  justification exist brutality resident Pipeline endure afternoon Ruto amp Gachagua day numbered amp count well,MaandamanoThursdays
SanyaNabwana,  Kenya Police BRUTE apply Northlands farm MondayInstead energy misguide,MaandamanoThursdays
Happy_kulayo,  Raila know deal crowd,MaandamanoThursdays
derrickodhis,  people Embakassi East Republic wait Raila Odingas motorcade rally Imara Daima Jacaranda Going pipeline uber risk,Maandamano maandamanothursdays
KBCChannel1,  Isiolo resident say demonstration Azimio supporter take street third time,TheGreatKBC MaandamanoThursdays
SanyaNabwana,  Embakasi,maandamanoThursdays
Onlineoptimize1,  majaruos Oyugis run away police land cruiserBabu Owino Pwani University,MaandamanoThursdays Raila
JohnChama_ke,  Kuna hii group ilikuwa inaitwa GSU,MaandamanoThursdays
HarryGodfirst, ,Kenya MaandamanoThursdays
mwanawassa,  May God Bless Protect Babu Owino//Paul Ongili future might Deputy President,MaandamanoMondays
NabwanaSanya,  Embakasi,maandamanoThursdays
it_kibe_,  demonstrate halt business county Golden opportunity loot Raila respect luo business men Kenyattas Luo v luo RIP Narok | Gatundu | Kayole,MaandamanoThursdays Raila
Hylovveee,  case country slip cliff three individual accountable president interior minister IG,RailaOdinga Ruto Demonstrations
aludacyprian,  Hii ni msafara ya Ngombe 🤣🤣 na wananchi pale outer ring wanakimbiza Polisi,MaandamanoThursdays
VinnieKinkade,  civilized society like France demos do Pwani University Siaya Pipeline Kisumu Imara Daima,MaandamanoThursdays Raila
SallyBolo,  shall bow shall never backdown understand journey freedom liberation isnt walk park Pictures convoy encounter Police pale Pipeline Nairobi Aluta Continua,MaandamanoThursdays
keysha_bubs1,  Rubber bullet,Kisumu raila Maandamano MaandamanoThursdays thikaroad babuowino
OnguruMeister, ,MaandamanoThursdays
IanSeli,  eat live amp raw ant Queen watch disbelief shock,MaandamanoThursdays
cytokings,  discuss anyone avoid waste breath time find person align politically first save big time Otherwise mtaargue whole day,MaandamanoThursdays
DeejaySylar,  Itabidi zakayo ashuke sasa,MaandamanoThursdays
RailaOdinga,  justification exist brutality resident Pipeline endure afternoon Ruto amp Gachagua day numbered amp count well,MaandamanoThursdays
otieno_tester,  Watu wa Eastlandtao wako strand mat,MaandamanoThursdays
Ni_Knotty,  Mkenya anatetea haki yake police act like law,ungaishuke Police MaandamanoThursdays
SirMwangala,  1hr end,MaandamanoThursdays
solo_ambuku,  Na si uongo total madness whore cherish stupidity rue day country finally cross precipice nobody win Maintain regret late 🤕🥲,Maandamano LawAndOrder MaandamanoThursdays
3t1kd,  Asanteni sana Thuggery sponsor Co asanteni sana kwa,Azimio MaandamanoMondays MaandamanoThursdays
keysha_bubs1,  Quick recovery,raila maans MaandamanoThursdays Maandamano thikaroad Northlands babuowino narok RIP
Happy_kulayo,  sad Poor Kenyans suffer Maandamano continue Thugs take advantage Maandamano steal hardworking Kenyans Pole sana,MaandamanoThursdays
KenyaNiYetuSote,  mene mene tekel upharsin,MaandamanoThursdays
waza_news,  Azimio protester expect take street today third time irritate eye nose throat skin result symptom like tear cough trouble breathing,azimio MaandamanoMondays RailaOdinga teargas
3t1kd,  Thuggery sponsor Co asanteni sana kwa,MaandamanoMondays MaandamanoThursdays
K24Tv,  Journalists KTN NTV injured medical center Eastlands,MaandamanoThursdays K24Siasa
KWC_Congress,  Todays demonstration peaceful police become unruly throw teargas demonstrator,MaandamanoThursdays
Hurdsonmatata,  SHUT immediate effect INCITEMENT HIGHEST ORDER promote violence oil brewing anarchy allow spiral,MaandamanoThursdays
iam_randiki,  big question government police,DateWithDestiny MaandamanoMondays MaandamanoThursdays
Ifrahmile46,  Tear gas hadi dani ya ploti,MaandamanoThursdays Raila pipeline
SosPee_Tvee,  NTV journalist,MaandamanoThursdays
