username,lemmatized_text,extract_hashtags,labels
GideonKibicho1,  Kuna mtu ameambia truly love country take bullet nothing Ruto Citizen TV Imara Daima Edwin Sifuna Pwani University Gatundu MC Fullstop,Raila Maandamano RailaOdinga MaandamanoThursday,[0.29592764 0.4742098  0.22986259]
peterju59314052,  comment tweet say everything Kenyans refuse mchawi Raila shenanigan,MaandamanoThursdays,[0.86704326 0.10504143 0.02791528]
SlapNol,  Kayole Donholm,MaandamanoThursdays,[0.25061068 0.59014904 0.15924028]
martine_caleb, ,MaandamanoThursdays,[0.3257778  0.38096133 0.2932608 ]
kevoprezzo,  think medium give government Media blackout protest theyve brutalized journalist today Tassia outering,MaandamanoThursdays,[0.88688827 0.09191623 0.02119554]
MapesaOjiwa,  come mya attention Kalenjin tribal tribe KenyaEspecially Twitter anyone observe thing,MaandamanoThursdays,[0.33876655 0.46724832 0.1939851 ]
EveSpark,  Please stop protest Please stop protest cry disabled member society pregnant mom elderly people child run easily defend,RailaOdinga WilliamRuto,[0.48007518 0.36950678 0.15041806]
Reptile_ke,  Goonverment Sounds funny funny,MaandamanoThursdays,[0.062852   0.16819516 0.76895285]
edwinotis123,  Democracy Dies Darkness CONDENM ACT POLICE Directed journalist,MaandamanoThursdays,[0.7500907  0.2276816  0.02222769]
TerrChuLei,  Raila minion : realize KK govt unmoved matter theyre claim inthe interest Ruto tat handshake shuld happen Tunawaambia Ngo Ngo Ngo,MaandamanoThursdays,[0.35152817 0.3471661  0.30130574]
DiscoveriesAct,  car belong Mathare North lawmaker ally AZIMIO curious journalist transport inside car People dont listen tell medium part anarchy script Alai Kayole,MaandamanoThursdays,[0.36606333 0.46967685 0.16425984]
Silent_Singer21,  Lets 1000 today ill follow back immediatelyretweet fast /RIP/Pwani University/KDD 233P/Babu Owino/Vera,MaandamanoThursdays Raila,[0.46661788 0.39636698 0.13701513]
martine_caleb, ,MaandamanoThursdays,[0.3257778  0.38096133 0.2932608 ]
GideonKibicho1,  Kuna mtu ameambia truly love country take bullet nothing Ruto Citizen TV Imara Daima Edwin Sifuna,Raila Maandamano RailaOdinga,[0.33299005 0.42188123 0.2451287 ]
bitcoineriey,  Bora msifanyie kitu Sugoi prince rest mjipende,MaandamanoMondays,[0.36904454 0.36761335 0.26334214]
OgolaSirikal,  bold brave,MaandamanoThursdays,[0.17249902 0.33495045 0.49255055]
Mxi92478176,  BREAKING NEWS RAILA ODINGA CURRENTLY BEGING RUNDA/KAREN WELL WISHERS CONTRIBUTE NIGHT MEAL LONG DAY DEMONSTRATING WITHOUT TAKING MEAL MANSION KAREN Edwin sifuna / vera,MaandamanoMondays,[0.36547258 0.35716495 0.2773625 ]
MohamedBamursal,  Poor Kenyans blindfold join foot place place yet master vehicle draw huge salary national coffer lead example donate earnings resign else let Kenyans work earn living,MaandamanoThursdays,[0.84601873 0.11452197 0.03945939]
KenyasTweep,  Mkiambiwa cost live mnajam Wajinga ni nyinyi Pwani university Raila Odinga pipeline William Ruto,MaandamanoThursdays MaandamanoThursday MaandamanoMondays,[0.28789508 0.5890556  0.1230493 ]
BeingCharlie,  100 % Horrific,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis,[0.92283875 0.04437175 0.03278958]
CallebMeshack,  matter side body happy Enough enough,MaandamanoThursdays,[0.15077148 0.50056905 0.34865946]
KWC_Congress,  Goonverment Sounds funny funny,MaandamanoThursdays,[0.062852   0.16819516 0.76895285]
lord_tilla,  cop goon hire state,MaandamanoThursdays RHONairobi Raila,[0.34171867 0.43925145 0.21902986]
DjGhost254,  journalist expect go scenewangejipin security tosha ama walidhani camera itasimamisha teargas,MaandamanoThursdays Raila,[0.43176827 0.36837083 0.19986096]
Jeshi_LaBABA,  HEAD POWER PEOPLE,MaandamanoThursdays,[0.1314542 0.1770086 0.6915372]
CrazyMaxxy,  Goonverment say,MaandamanoThursdays,[0.29017785 0.47907805 0.23074415]
Juliohwachirah,  Mambo iko hii Kenya ni mingi,MaandamanoThursdays,[0.31422114 0.20906675 0.47671214]
tipsy_collins,  female accuses bruv fuck fuck bad Guilty nah youll damn prove innocence,MaandamanoThursdays,[0.8185117  0.12687288 0.05461542]
irenetindi,  Elders Religious leader Country bring two premier together dialogue Children Women age PWDs hurt God help Kenya Restore sanity,MaandamanoThursdays,[0.69223684 0.22921707 0.078546  ]
BeingCharlie,  Scenes Uganda play Nairobi Happened Kizza Besigelye Uganda Today happen Raila Odinga Kenya,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis,[0.09732502 0.78364134 0.11903363]
Reptile_ke,  Biblia iliwekwa chini alafu shetani akachukua usukani sad day Kenya,MaandamanoThursdays,[0.5447488  0.2975776  0.15767364]
BlaqAnarchist,  Gava back successful tour Europe supportive statement AU West week seem clear convince world opinion Raila treat terrorist dialogue Handcheque,MaandamanoThursdays Raila,[0.2724483 0.3659968 0.3615549]
Reptile_ke,  ’ call end PROTESTS call police BRUTALITY call PROTECTION human right call end INTIMIDATION ’ ask continuation OPPRESSION,MaandamanoThursdays,[0.84813154 0.12480819 0.02706027]
BrianKosgeiii,  Ruto hio kura nilikupea August ilikua ya kwanza na ya mwishohuwezi Hubiri maji na wewe unatumia pombe Mahn promise lot Police Brutalitybut instead turn face Police Brutality Rails Odinga Ruto Gachagua Pwani University,MaandamanoThursdays,[0.5773426  0.30813336 0.11452392]
EveSpark,  Please stop protest Please stop protest cry disabled member society pregnant mom elderly people child run easily defend,RailaOdinga,[0.48007518 0.36950678 0.15041806]
EveSpark,  Please stop protest Please stop protest cry disabled member society pregnant mom elderly people child run easily defend,RailaOdinga,[0.48007518 0.36950678 0.15041806]
vinnymongare,  man pay kill peaceful demonstrator Tassia photoshop,MaandamanoThursdays,[0.62395114 0.29922247 0.0768264 ]
ZakayoGichuhi,  guy compensate infamous handshake uhuru Kenyatta ama aliserve purpose yake forget many u dust settle,Raila MaandamanoThursdays,[0.577855   0.26612744 0.15601762]
BeingCharlie,  Living DANGEROUS time,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis,[0.44598672 0.12302829 0.430985  ]
_KAISERTONIZZ,  RAILA ODINGA : car hit 7 live bullet aim RANDOM FB USER : blame officer miss target jail life Kenyans surely,MaandamanoThursdays,[0.8272588  0.14785075 0.02489042]
BeingCharlie,  Mothers,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis,[0.27036074 0.48248246 0.2471568 ]
Roy_koech7,  KDD 233P medium accomplishes treason teargas,MaandamanoThursdays Raila,[0.37884265 0.4103668  0.2107905 ]
BeingCharlie,  DP Rigathi Gachagua,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis,[0.2787206  0.52178615 0.19949321]
BeingCharlie,  Sad,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis,[0.3882405  0.4007     0.21105945]
HajjAbdiwahid,  STAND solidarity BABA better kill 15M us first,MaandamanoThursdays,[0.38058126 0.30360797 0.3158107 ]
BeingCharlie,  Following DP Rigathi Gachagua order letter Expect nothing well,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis,[0.47582433 0.3829219  0.14125381]
bonifacemwangi,  Kenya Police work Protests always begin peacefully show violenceA teargas grenade shot directly person kill shock COMPLETELY stop heart Killer Police Force,MaandamanoThursdays,[0.78098005 0.17714578 0.04187417]
RecordTVKenya,  ALTERED NUMBER PLATE clearly seem vehicle one allegedly attack number plate awfully alter KDD 233P KBB 233B divide 2,MaandamanoThursdays,[0.8682608  0.11965346 0.01208576]
billafriking,  dont know journalist badly hurt KDD 233P,MaandamanoThursdays Maandamano Demonstrations RailaOdinga azimio,[0.90663916 0.07564634 0.01771448]
lalita_kip,  vote lead Nation one influence dialogue/ Handshake neither international influence,MaandamanoThursdays Raila pipeline,[0.27357465 0.58350396 0.14292136]
BeingCharlie,  Regrettable scene witness today Rogue police Thugs amp looter Affront press,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis Daybreak WayForward,[0.9420472  0.04655244 0.01140031]
kaddy76006924,  Sasa hata maiti mnaiba,MaandamanoThursdays,[0.58454263 0.29125497 0.12420239]
Mutwiried,  Everything government right focus next election~Khelef Khalifa,MaandamanoThursdays maandamano,[0.11348546 0.61337435 0.27314016]
_pablo254,  Jakom rethink conduct juu victim mazee wanasuffer,MaandamanoThursdays,[0.7032659  0.21581097 0.0809231 ]
TradearlNewsSvc,  Azimio protester Kisumu vandalize loot newly open Kwee funeral home Jaramogi Oginga Odinga Teaching Referral Hospital Governor Nyongo condemn attack call perpetrator apprehend,MaandamanoThursdays TradearlNews,[0.7054472  0.22847113 0.06608168]
fokango,  ’ call end PROTESTS call police BRUTALITY call PROTECTION human right call end INTIMIDATION ’ ask continuation OPPRESSION,MaandamanoThursdays,[0.84813154 0.12480819 0.02706027]
Kilemi_Andrine,  Hii nayo imeenda,MaandamanoThursdays Nairobi,[0.43608305 0.35822323 0.20569368]
black_pablo1,  Old men start war youth die fight,MaandamanoThursdays,[0.45614615 0.4411674  0.10268649]
Kipchumba786,  dont take disciplinary action rogue officer constantly bay innocent blood sell soul nation devil,MaandamanoThursdays,[0.9294428  0.05507039 0.01548681]
Itumbiparody,  Inspector General police Japhet Koome recall police miss target save us maandamanos another,MaandamanoMondays,[0.5790967  0.34059498 0.08030833]
joncaleaf1,  colonize fellow countryman constitution allow us picket freedom expression one take away freedom Kenyan citizen,MaandamanoThursdays MaandamanoMondays,[0.36731794 0.37039274 0.26228932]
cynthiamutere,  appear many tool repression articulate colonialism refine new ruling class follow independence still use consolidate state Azmio,MaandamanoThursdays,[0.46499777 0.3902348  0.14476748]
geeradioke,  press conference Karen opposition chief claim car shoot seven time live bullet believe direct attempt kill,MaandamanoThursdays Raila RailaOdinga Assassination,[0.51047873 0.4198448  0.06967647]
DennisOtachy,  Absolutely madness ’ right way treat journalist work,MaandamanoThursdays,[0.71356046 0.14304943 0.14339018]
alex_0962,  People retire pass long contribution still make keep current govt check either deliver quit suffer,RailaOdinga Kenyans,[0.36752635 0.42401725 0.20845644]
IvanWanjiku_M,  urge resident Siaya Homabay Migori Kisumu burn everything hii unga lazima ishuke support behind keyboard Youre hero Chomeni hata lake victoria,MaandamanoThursdays,[0.2787527  0.2788046  0.44244263]
Mutwiried,  Even demonstrator throw stone car windscreen anything thing replace within 24 hour cant replace life~ Khelef Khalifa Director MUHURI,MaandamanoThursdays MaandamanoMondays kutvprimetimenews,[0.35039648 0.46743688 0.18216665]
GachingJose, ,MaandamanoThursdays,[0.3257778  0.38096133 0.2932608 ]
waza_news,  Azimio protester expect take street today third time irritate eye nose throat skin result symptom like tear cough trouble breathing,azimio MaandamanoMondays RailaOdinga teargas,[0.8994706  0.08593698 0.01459236]
MohamedBamursal,  hit economically spearhead working/lower class pyramid Uber driver drive somewhere decry unable make end meet family fee bill pay loan service,MaandamanoThursdays,[0.44615808 0.46194038 0.09190152]
JimmieiZmE,  Hope madness end soon,MaandamanoMondays,[0.7617964  0.14935918 0.08884434]
Kisumu_lastborn,  Arent confident enough ur prowesswhy cry foul affiliate boughtwhat say peopleinstead mobilizing anarchy see u inhouse keep n spare,Azimio Dearmwananchi,[0.8001988  0.14855035 0.05125087]
DJTASMANIA1,  Stop comparing Railas life useless thing,MaandamanoThursdays,[0.92928857 0.049364   0.02134735]
WanjiruNdagita,  demand part video want see two action together Otherwise remain stage manage scene part,MaandamanoThursdays,[0.19766259 0.58275443 0.21958293]
OjwangMariam,  Unlike DCI Officers download 2017 Photos publish photo Criminals let leave pic evidence transpire tell us police think Propaganda Ghai,MaandamanoMondays MaandamanoThursday,[0.6073622  0.32785803 0.0647798 ]
alex_0962,  defend constitutional right fight past decade think retire watch magic play,Baba RailaOdinga,[0.28147727 0.5262036  0.19231914]
BeingCharlie,  HARDLINERS,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis,[0.3516865  0.44347808 0.20483536]
BeingCharlie,  time President William Ruto bring end Diplomatic solution best way though,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis,[0.26231667 0.3463768  0.39130652]
Njoroge_kamau,  sad officer back bribe kesho Pwani University accident idiot allow sudden 100kph 50 kph speed limit let ’ blame,MaandamanoThursdays,[0.91707873 0.06546772 0.01745348]
KenyaNiYetuSote,  citizen arrest conduct Assasin loose target Baba allow,MaandamanoThursdays,[0.73707443 0.23987088 0.02305468]
BeingCharlie,  DP Rigathi Gachagua help,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis,[0.40796876 0.4134593  0.17857194]
Tasha_ke746,  Basketball 🥳 Thika Road Kisumu Bandits Malema Pwani University Babu Owino Eldoret RIP,MaandamanoThursdays Raila,[0.7457446  0.22964257 0.02461283]
nziokitm,  Gained 100+ follower day Thank much Drop handle grow together,Quickmart57 Raila MaandamanoThursdays,[0.03220054 0.11359518 0.8542043 ]
AzimioTv,  Looks like illegitimate regime learn powerful lesson : never underestimate strength people,MaandamanoThursdays,[0.7708808  0.13828039 0.0908388 ]
DzaddyLil,  Uyu mzee sii aende nyumbani kiroho safiYani tangia nizaliwe 2002 amekua akivie presidency na analose zotesaizi naplan kuamka2027najua atakua bado kwa race,RailaOdinga,[0.5418117  0.28982845 0.16835985]
BeingCharlie,  President William Kipchirchir Samoei Arap Ruto PhD must take charge silence noisy DP Rigathi Gachagua,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis,[0.6542541  0.27045056 0.07529541]
benalfali,  ulizia sisi huko juu whether patron makanisa arubaini slot also mean mama mboga government,MaandamanoThursdays MaandamanoThursday Raila,[0.4126965  0.46262276 0.12468066]
BeingCharlie,  DP Rigathi Gachagua hat Luos passion speech tell,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis,[0.3950166  0.41109967 0.19388372]
sakijointl,  real love course hand cost living must bring GoK,Azimio MaandamanoMondays Mungumbele,[0.14702801 0.52157867 0.33139336]
Reptile_ke,  Pipeline selflessly pour water highrise flat douse team intense teargas Mubarikiwe,MaandamanoThursdays MaandamanoThursdays,[0.22029203 0.5686512  0.21105677]
Malcolm_Ze,  guy send miss Sorry,MaandamanoThursdays,[0.7713274  0.18601628 0.04265632]
AvangiBenedict, ,Costume MaandamanoThursdays,[0.3257778  0.38096133 0.2932608 ]
HonMbaki,  Raila Odinga know ahead ’ stop nonsense go forward Monday extremely messy Whoever lie ’ law read tweet 100 time Nobody allow loot destroy kill Kenyans,MaandamanoThursdays,[0.8850722  0.08537018 0.02955766]
Akillomuziq21,  Ni handshake aimthe president deputy ruthless 80s stupid thought must continue,MaandamanoThursdays,[0.84793085 0.10069423 0.0513749 ]
DaimaDawama,  goon,MaandamanoThursdays MaandamanoThursday,[0.30871364 0.2788764  0.41240993]
DavidGichamba,  STOP MADNESS RETIRE TODAY,MaandamanoThursdays RailaOdinga enemyofthepeople,[0.94090736 0.04105671 0.01803591]
_real_es,  Ealier Today Embakasi Outering Road,MaandamanoThursdays Maandamano RailaOdinga embakasi PoliceBrutality PwaniUniversity,[0.5622895  0.39693844 0.04077208]
dennisjoe20,  Windscreen broken vehicle wreck big question Mr Odingas Insurance principle proximate cause subrogation loss minimization INDEMNITY apply case,Raila MaandamanoThursdays,[0.8062892  0.17476241 0.01894833]
Jeshi_LaBABA, ,MaandamanoThursdays,[0.3257778  0.38096133 0.2932608 ]
kamaa2525,  peace,MaandamanoThursdays,[0.32838875 0.35692403 0.31468716]
PHILLISKANG6,  Wow sound like Deputy President need get clue people speak Raila Odinga come ready See bio bro,MaandamanoMondays,[0.33314976 0.3574782  0.309372  ]
Tonywamwangi,  Kenya police take gender reveal party another levelFinallytoday baby girlHaha,MaandamanoThursdays,[0.21201423 0.5227384  0.26524737]
ChrisstalFarms1,  21st Century Police still act like untrained uncivilized force Quite unfortunate particular officer prosecute Babu Owino Edwin Sifuna,Maandamano Newsnight MaandamanoThursdays Raila,[0.939886   0.04557022 0.01454383]
SirKimly,  Raila Odinga really adore follow constitution rule law deal people dont care advice baba use armored vehicle need alive,MaandamanoMondays,[0.2670798  0.32837388 0.40454632]
MusiFrancisco,  go dine inthe tweet Skia vibaya na hukooo,MaandamanoThursdays imaradaima,[0.3444649  0.36149624 0.29403883]
Onlineoptimize1,  Kenyas top rank killer cop,Quickmart57 Raila MaandamanoThursdays,[0.9178667  0.05333739 0.02879593]
wembe_sita,  fraction PA whole teach school,MaandamanoThursdays,[0.35410234 0.5127277  0.13316996]
kiprono_kip,  take entire bulletin Northlandsnow animal farm,Tonight MaandamanoThursdays,[0.32545862 0.57927036 0.09527098]
1FresHcobar,  international community US EU AU Kenya Kwisha govt ( current regime ) target journalist cover protest Kenya intent cause serious harm kill Pwani University Kisumu Siaya Outering Road Baba Imara Daima,MaandamanoThursdays Raila,[0.88065076 0.10227703 0.0170722 ]
Reptile_ke,  Kenya Police attack opposition convoy exit Kware Embakasi South Nairobi Africa Uncensored manage capture exclusive footage plain cloth police officer lob teargas medium vehicle Two journalist injure teargas,MaandamanoThursdays,[0.84768784 0.13518725 0.01712497]
Raphael_Njogu_M,  notice every time Babu owino take mic live TV play cut Photoshop Pipeline Vera Outering Road RIP Pwani University Karen Kisumu Citizen TV,MaandamanoThursdays Quickmart57 Raila,[0.4157714  0.44440997 0.13981867]
aludacyprian,  attack journalist police purely senseless Outering Road Courtesy,MaandamanoThursdays,[0.9406453  0.04878319 0.0105715 ]
BeingCharlie,  Blood amp politics Tears amp Jeers Death amp Destruction Jacaranda Tasia l Imara Daima Mukuru Kwa Njenga,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis,[0.85710967 0.11853097 0.0243593 ]
Reptile_ke,  Ruto Opposition MAANDAMANO REMOVE KIBAKI STATEHOUSE Okay,MaandamanoThursdays,[0.29287028 0.46780723 0.23932253]
Mutwiried,  Azimio hold government account kenyan right demand lowering cost living~Suba Churchill NCSC kutvkenya,MaandamanoThursdays MaandamanoMondays,[0.2917816 0.4325504 0.275668 ]
NampSmart,  Monday front line expect thing different chiee,MaandamanoMondays,[0.3525774  0.384818   0.26260462]
Rixsirez,  Looting Even funeral home Hii Ni Maajabu,Raila RailaOdinga,[0.9018744  0.08534165 0.01278392]
LeadTrainLearn,  Register yesterday : Pwani University Kisumu Siaya Pipeline Outering Road,MaandamanoThursdays Raila,[0.14996958 0.7776622  0.07236829]
sheltonjair11,  Wengine wanasema ni photo shop God know truth May Allah protect nation swala country,MaandamanoThursdays RamadanKareem,[0.31176937 0.37377048 0.31446016]
Generationzeyd,  Packaging bag Branding entail serve client delivery bag keep remember brand whenever take look packaging get serve Price kes 200 0721507651,Raila MaandamanoThursdays,[0.05953727 0.83440274 0.10605989]
ItsMutai,  friend fondly support Azimio unfollowed recently VEHEMENTLY oppose people preach drink wine call DEMOCRACY really care less worth noting life move like colossus,MaandamanoThursdays,[0.49340528 0.28047287 0.22612193]
CosnameTv1,  HAPPENED CCTV camera capture final moment Pwani University student perish Kayole Naivasha today way Eldoret bus lose control fail break RIP,MaandamanoThursdays Nairobi Raila JKLive cosname wearewithyou,[0.85328066 0.12451719 0.02220218]
Malcolm_Ze,  Gachagua ’ like allow go ahead,MaandamanoThursdays,[0.25796774 0.42452508 0.3175072 ]
AvangiBenedict,  costume,MaandamanoThursdays,[0.308227   0.39277846 0.29899454]
VictorMochere,  two person,MaandamanoThursdays,[0.26697063 0.5525163  0.18051308]
GabrielDolan1,  One thing agree IGPolice must force resign progress step aside Ludicrous maybe say loudly together possible,MaandamanoThursdays,[0.2339866  0.45674032 0.30927306]
PeterWakaba7,  bad condemn peace love Kenyans,MaandamanoThursdays,[0.92200184 0.05734134 0.02065685]
Princeof_Kenya,  Kisumu Kwee Mortuary invade corps pull sexually desecrate receive handshake Citizen TV show,Raila MaandamanoThursdays,[0.75384957 0.2195527  0.02659769]
HisiUzuriPlus,  Kweli uko na nguvu,MaandamanoThursdays,[0.42885986 0.27715668 0.2939835 ]
MOmuttaha,  Journalists attack Kenya,JournalismIsNotACrime Raila MaandamanoThursdays,[0.885263   0.10106416 0.01367278]
BeingCharlie,  Thugs amp Guns Tear gas amp Tears Fears amp Tears Losses amp Damages,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis,[0.60550064 0.34520277 0.04929664]
LeadTrainLearn,  Grab early bird discount Pwani University Kisumu Siaya Pipeline Outering Road,MaandamanoThursdays Raila,[0.03823727 0.8625038  0.09925888]
georgenjoroge_,  green thing ni ya nini🤦🤗,MaandamanoThursdays,[0.18121953 0.31976882 0.4990117 ]
LeadTrainLearn,  Make career shine Inspire success Pwani University Kisumu Siaya Pipeline Outering Road,MaandamanoThursdays Raila,[0.08372402 0.49436733 0.42190865]
LarryOGW,  easily go demo baba common mwananchinow want imagine go demo Kalonzo Worst case WamalwaAjeeeeee,MaandamanoThursdays,[0.67315936 0.22552602 0.10131461]
AbalaKinyuaa,  catch camera last time time wear cap gas mask hide face Even hand goon kill Blood thirsty,Maandamano RailaOdinga,[0.477439   0.4070452  0.11551586]
AlmamyMoha254,  really Peaceful Demonstration enough enough Cc,MaandamanoThursdays,[0.11981715 0.24758942 0.6325934 ]
LfeonS,  Korir Assassin,MaandamanoThursdays,[0.3017758  0.45266825 0.24555591]
kiplangatbrian9,  succumb intimidation ypu make good decision call see beeing man enough lead ona huyu mzee,MaandamanoThursdays,[0.283422   0.31777123 0.39880678]
BeingCharlie,  Criminal Enterprise take protest,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis,[0.7815534  0.1960421  0.02240445]
njewamaore,  Kenyans supportibg Azimio goon know politician use people interest see Americans get involve know unga price learn,Raila Kenyaprotest MaandamanoThursdays,[0.3102056  0.35522515 0.33456922]
LeadTrainLearn,  Quality redefine expert delivery Pwani University Kisumu Siaya Pipeline Outering Road,MaandamanoThursdays Raila,[0.09946365 0.59784883 0.30268756]
LeadTrainLearn,  Make way future Pwani University Kisumu Siaya Pipeline Outering Road,MaandamanoThursdays Raila,[0.18808894 0.591441   0.2204701 ]
authenttick,  vaccine would take every day vein guy visionary coward like Rigathi Gachagua Ruto everyday due public demand Edwin sifuna imara daima,RailaOdinga Maandamano MaandamanoThursdays Nairobi Raila,[0.6747247  0.20913531 0.11613994]
PhinelSenior,  want state Kenya ready cessation land Period Tv Pwani Police Ruto Nairobi Azimio Embakasi,Maandamano RailaOdinga Citizen,[0.31413147 0.57003206 0.1158364 ]
BeingCharlie,  Blood,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis,[0.3672866  0.39914897 0.23356447]
AvangiBenedict,  Hii imenda hii imenda,MaandamanoThursdays,[0.25746137 0.2651219  0.47741678]
oseur_nancy,  journalist attack Media independence need,MaandamanoThursdays mediafreedom,[0.83639103 0.14012623 0.02348277]
EduReformKenya,  Another day get kid school early amp without homework,Maandamano BanEarlyAndLateClasses BanWeekendClasses BanHomework EducationReform MentalHealth TheExplainer Raila MaandamanoThursdays,[0.4582148  0.37364894 0.1681362 ]
BeingCharlie,  mother spouse daughter,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis,[0.17196256 0.6046956  0.2233418 ]
AvangiBenedict,  mandamanonimeomoka,MaandamanoThursdays,[0.35279763 0.37043843 0.27676395]
MureithiNicky,  number plate alteredwho car carrying,RailaOdinga Raila,[0.33519068 0.6374008  0.02740853]
TheChoge,  always one dirty hand point finger Raila Odinga make distasteful comment stake government,MaandamanoThursdays MaandamanoMondays Maandamano,[0.93143535 0.04923478 0.01932989]
makauprince_,  guy,KOT MaandamanoThursdays,[0.29066807 0.4130536  0.29627833]
BeingCharlie,  Turbulent time Kenya,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis,[0.32294324 0.33921957 0.3378372 ]
David_Indeje, ,MaandamanoThursdays,[0.3257778  0.38096133 0.2932608 ]
BeingCharlie,  Kenya trouble,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis,[0.82116604 0.1402524  0.03858156]
LfeonS,  Korir Assassin huku atapewa mshahara mnono sana na Zakayo Preacher,MaandamanoThursdays,[0.396481   0.43237546 0.17114359]
VictorMochere,  attempted assassination Raila Odinga crime humanity successful assassination ignite revolution Kenya,MaandamanoThursdays,[0.8496745  0.1263146  0.02401092]
BeingCharlie,  Sad,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis,[0.3882405  0.4007     0.21105945]
mauricemuliko,  need profile terrorize socially plain clothed officer inhumane,MaandamanoThursdays,[0.9567527  0.03314846 0.01009878]
BeingCharlie,  Scenes 2007 relieve 2023 Kenya TROUBLED look good,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis,[0.09498561 0.14724934 0.75776505]
EmbuTelevision,  VIOLENCE LOOTING amp DESTRUCTION AZIMIO DEMONSTRATIONS RAILA INTERNET NEVER FORGETS,ArrestRaila demonstration ArrestRailaNow Azimio,[0.93415445 0.05305343 0.01279211]
Mr_Simpson9,  3 day protest know tough head ICC criminal posing president go take demonstration get thief crony open election server,MaandamanoThursdays,[0.8484434  0.1175096  0.03404703]
YoungBrokeNigaz,  wrong Kenyans want peace big political ego,MaandamanoThursdays,[0.8863825  0.0974282  0.01618924]
BeingCharlie,  heart bleeds country,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis,[0.94223064 0.04107474 0.01669458]
j_thuranira,  think light end tunnel kumbe ni nduthi inatokelezea,MaandamanoThursdays MainaAndKingangi,[0.41753063 0.37248206 0.20998733]
BeingCharlie,  Stealing DEAD take DARK turn,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis,[0.8079179  0.16106041 0.03102167]
OfficialOneKid,  Baba world giant,MaandamanoThursdays Raila,[0.30936489 0.27810508 0.4125301 ]
johnnieWesh,  get mandamano thing spend 20 min emphasis protest good country watch DW main story despite protest,RailaOdinga,[0.35452616 0.32651114 0.3189627 ]
BeingCharlie,  Cry thy beloved KISUMU Scenes 2007 relieve 2023 Truly heartbreaking,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis,[0.90460426 0.06084318 0.03455252]
Abundance_Raph,  PRAY KENYA WAY THINGS GOING UNLESS GOD INTERVENES,MaandamanoThursdays PeaceAndLove KenyaToday,[0.35967022 0.36582875 0.27450103]
delano_josh,  Leo Tassia tumesumbuliwa na makarao reason guess bore coz section calm side Tassia,MaandamanoThursdays tassia,[0.42735648 0.34916264 0.22348084]
Naitalel_maina,  Fahari wawili wakipigananyasi ndio huumia casesisi ndio nyasi Thugs take advantage maandamano loot n destroy Dear president Ruto act like leader Engage Raila nusu mkate dialogue peace,MaandamanoThursdays tassia,[0.63787323 0.21931788 0.14280882]
BwnHon,  say thatFor president people must die many foolish Luis KisumuMathare Kibra Pipeline must die stop hope one day get world Luos liberate,Raila Raila MaandamanoThursdays MaandamanoMondays,[0.8554612  0.11246372 0.03207516]
AllenNext,  Even armoured vehicle match state machinery 🤔,Maandamano Raila MaandamanoThursdays MaandamanoThursday MaandamanoMondays MaandamanoMonday,[0.24810767 0.69424343 0.05764887]
DWorldChronicle,  happen Video : Courtesy,MaandamanoThursdays,[0.07359546 0.74594223 0.1804623 ]
da_dancan,  Im sure mr miss political report,MaandamanoThursdays,[0.36149988 0.45606542 0.18243474]
MuyelaRobertob,  person 1 top 2 jean 3 gun 4 bag 5 earpiece,Raila pipeline Maandamano MaandamanoThursday RailaOdinga,[0.13532852 0.7520052  0.11266626]
Evan23317235848,  Yani people take yo time vandalise limited health facility well do Kisumu people,MaandamanoThursdays,[0.62429327 0.25696787 0.11873884]
FieLixie,  Could Korir,MaandamanoThursdays,[0.33427462 0.38311377 0.28261158]
IanMainw,  Killed high school kid pipeline earlier today,Railaodinga CitiNewsroom HumanRights statehouse,[0.8322319  0.14909898 0.01866907]
